,Province_State,Date,Confirmed,Deaths
294,American Samoa,2020-02-01,0,0
6968,Texas,2020-02-01,0,0
4128,Missouri,2020-02-01,0,0
6684,South Dakota,2020-02-01,0,0
2282,Idaho,2020-02-01,0,0
578,Arkansas,2020-02-01,0,0
3418,Maryland,2020-02-01,0,0
152,Alaska,2020-02-01,0,0
1146,Delaware,2020-02-01,0,0
4554,Nevada,2020-02-01,0,0
7394,Virgin Islands,2020-02-01,0,0
6542,South Carolina,2020-02-01,0,0
5832,Oklahoma,2020-02-01,0,0
1431,District of Columbia,2020-02-02,0,0
11,Alabama,2020-02-02,0,0
7395,Virgin Islands,2020-02-02,0,0
721,California,2020-02-02,3,0
5123,New York,2020-02-02,0,0
1715,Georgia,2020-02-02,0,0
5549,Northern Mariana Islands,2020-02-02,0,0
7679,Washington,2020-02-02,1,0
4697,New Hampshire,2020-02-02,0,0
863,Colorado,2020-02-02,0,0
3703,Michigan,2020-02-02,0,0
7253,Vermont,2020-02-02,0,0
4555,Nevada,2020-02-02,0,0
4413,Nebraska,2020-02-02,0,0
5833,Oklahoma,2020-02-02,0,0
5691,Ohio,2020-02-02,0,0
7111,Utah,2020-02-02,0,0
1573,Florida,2020-02-02,0,0
1147,Delaware,2020-02-02,0,0
4981,New Mexico,2020-02-02,0,0
7537,Virginia,2020-02-02,0,0
3277,Maine,2020-02-02,0,0
3419,Maryland,2020-02-02,0,0
1005,Connecticut,2020-02-02,0,0
8105,Wyoming,2020-02-02,0,0
3561,Massachusetts,2020-02-02,1,0
1289,Diamond Princess,2020-02-02,0,0
5975,Oregon,2020-02-02,0,0
6543,South Carolina,2020-02-02,0,0
3987,Mississippi,2020-02-02,0,0
3135,Louisiana,2020-02-02,0,0
5265,North Carolina,2020-02-02,0,0
2567,Indiana,2020-02-02,0,0
4839,New Jersey,2020-02-02,0,0
6827,Tennessee,2020-02-02,0,0
4129,Missouri,2020-02-02,0,0
6969,Texas,2020-02-02,0,0
2709,Iowa,2020-02-02,0,0
437,Arizona,2020-02-02,1,0
3845,Minnesota,2020-02-02,0,0
2283,Idaho,2020-02-02,0,0
6685,South Dakota,2020-02-02,0,0
2141,Hawaii,2020-02-02,0,0
6401,Rhode Island,2020-02-02,0,0
153,Alaska,2020-02-02,0,0
1999,Guam,2020-02-02,0,0
6117,Pennsylvania,2020-02-02,0,0
295,American Samoa,2020-02-02,0,0
5407,North Dakota,2020-02-02,0,0
4271,Montana,2020-02-02,0,0
579,Arkansas,2020-02-02,0,0
2425,Illinois,2020-02-02,2,0
2993,Kentucky,2020-02-02,0,0
1857,Grand Princess,2020-02-02,0,0
2851,Kansas,2020-02-02,0,0
7821,West Virginia,2020-02-02,0,0
7963,Wisconsin,2020-02-02,0,0
6259,Puerto Rico,2020-02-02,0,0
7396,Virgin Islands,2020-02-03,0,0
2284,Idaho,2020-02-03,0,0
2994,Kentucky,2020-02-03,0,0
6686,South Dakota,2020-02-03,0,0
1290,Diamond Princess,2020-02-03,0,0
3704,Michigan,2020-02-03,0,0
6402,Rhode Island,2020-02-03,0,0
2426,Illinois,2020-02-03,2,0
1006,Connecticut,2020-02-03,0,0
580,Arkansas,2020-02-03,0,0
4982,New Mexico,2020-02-03,0,0
8106,Wyoming,2020-02-03,0,0
4556,Nevada,2020-02-03,0,0
2568,Indiana,2020-02-03,0,0
5834,Oklahoma,2020-02-03,0,0
